

Profile Data: all times in seconds, memory usage in kilobytes.
Begin: 3. toukota 2018 18:42:10.
End: 4. toukota 2018 09:44:49.
	VI Time	Sub VIs Time	Total Time	# Runs	Average	Shortest	Longest	Diagram	Display	Draw	Tracking	Locals	Avg Bytes	Min Bytes	Max Bytes	Avg Blocks	Min Blocks	Max Blocks	Project Library	Application Instance
Write Delimited Spreadsheet (DBL).vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Write Delimited Spreadsheet (I64).vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer


Expanded VI Data:
Tracker.vi	12583,7271	952,3081	13536,0352	1	12583,7271	12583,7271	12583,7271	364,9331	6396,1034	5822,5969	0,0936	0,0000	8805,26k	8805,26k	8805,26k	45371	45371	45371		My Computer
-->SW_Load_frames_from_XML_LL.vi	47,3931	0,0000	47,3931	622	0,0762	0,0312	0,1092	47,3931	0,0000	0,0000	0,0000	0,0000	3658,16k	1648,55k	4820,08k	7480	3205	11319		My Computer
-->FL_Save_incrementally.vi	44,3667	0,0000	44,3667	1746177	0,0000	0,0000	0,0312	44,3667	0,0000	0,0000	0,0000	0,0000	637,67k	9,95k	1350,11k	12	9	2526		My Computer
-->HW_Stream_raw_data_enq.vi	18,4861	740,8643	759,3505	43456551	0,0000	0,0000	0,0156	18,4861	0,0000	0,0000	0,0000	0,0000	11,77k	11,77k	13,37k	20	20	25		My Computer
-->Write Delimited Spreadsheet (string).vi	10,9981	1,7004	12,6985	623	0,0177	0,0000	0,0312	10,9981	0,0000	0,0000	0,0000	0,0000	858,49k	8,84k	879,90k	56	56	56		My Computer
-->SW_Draw_mouse_br.vi	10,9669	31,0286	41,9955	1746177	0,0000	0,0000	0,0156	10,9669	0,0000	0,0000	0,0000	0,0000	32,11k	28,33k	32,81k	18	18	18		My Computer
-->FL_Decode_RAW_to_DEC_for_saving.vi	8,0497	20,0929	28,1426	3907693	0,0000	0,0000	0,0156	8,0497	0,0000	0,0000	0,0000	0,0000	5,96k	5,96k	7,49k	9	9	10		My Computer
-->FL_Calculate_phi_theta_etc_for_saving.vi	4,5240	0,0000	4,5240	3773004	0,0000	0,0000	0,0156	4,5240	0,0000	0,0000	0,0000	0,0000	5,96k	5,96k	5,96k	1	1	1		My Computer
-->FL_DEC_split_and_filter_for_saving.vi	3,9936	3,8688	7,8625	3773004	0,0000	0,0000	0,0156	3,9936	0,0000	0,0000	0,0000	0,0000	5,19k	5,19k	5,19k	0	0	0		My Computer
-->FL_Calculate_Coordinates_for_saving.vi	2,2620	0,0000	2,2620	3773004	0,0000	0,0000	0,0156	2,2620	0,0000	0,0000	0,0000	0,0000	4,49k	4,49k	4,49k	0	0	0		My Computer
-->Recording start timestamp	1,7784	0,0000	1,7784	5519073	0,0000	0,0000	0,0000	1,7784	0,0000	0,0000	0,0000	0,0000	0,02k	0,02k	0,02k	0	0	0		My Computer
-->SW_Generate_Segmented_Plot.vi	0,8892	0,9360	1,8252	4	0,2223	0,0780	0,6240	0,8892	0,0000	0,0000	0,0000	0,0000	9903,95k	3812,15k	26346,07k	40	40	40		My Computer
-->Picture to Pixmap.vi	0,0312	0,0000	0,0312	1	0,0312	0,0312	0,0312	0,0312	0,0000	0,0000	0,0000	0,0000	8558,95k	8558,95k	8558,95k	4	4	4		My Computer
-->Write PNG File.vi	0,0312	0,0000	0,0312	1	0,0312	0,0312	0,0312	0,0312	0,0000	0,0000	0,0000	0,0000	9,61k	9,61k	9,61k	22	22	22		My Computer
-->Array of the pixel to color correspondences	0,0156	0,0000	0,0156	1746178	0,0000	0,0000	0,0000	0,0156	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	636,83k	0	0	0		My Computer
-->FL_Last_N_Samples_Cluster_Array_1D.vi	0,0156	0,0000	0,0156	1746177	0,0000	0,0000	0,0156	0,0156	0,0000	0,0000	0,0000	0,0000	4,19k	4,10k	7,41k	12	12	12		My Computer
-->HW_Setup.vi	0,0000	0,0156	0,0156	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,79k	7,79k	7,79k	11	11	11		My Computer
-->Application Directory.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->Array of the segment to color correspondences	0,0000	0,0000	0,0000	1746178	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,15k	0	0	0		My Computer
-->Cluster of paths	0,0000	0,0000	0,0000	1835099	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	1,99k	0	0	0		My Computer
-->Color ramp array	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,02k	0,02k	0,02k	0	0	0		My Computer
-->Diagram at recording	0,0000	0,0000	0,0000	1746380	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	1,30k	0	0	0		My Computer
-->Diagram at recording no zones	0,0000	0,0000	0,0000	1746178	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,53k	0	0	0		My Computer
-->FL_Calculate_Coordinates.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,25k	6,25k	6,25k	0	0	0		My Computer
-->FL_Calculate_phi_theta_etc.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,80k	8,80k	8,80k	1	1	1		My Computer
-->FL_DEC_split_and_filter.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,43k	4,43k	4,43k	0	0	0		My Computer
-->FL_Decode_RAW_to_DEC_last_out.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,37k	8,02k	8,46k	7	7	15		My Computer
-->HW_Stop_acq_and_close_VISA.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,40k	6,40k	6,40k	10	10	10		My Computer
-->NI_LVConfig.lvlib:Close Config Data.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,70k	7,47k	7,94k	6	6	6	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Get Key Names.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,80k	7,80k	7,80k	6	6	6	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Open Config Data.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,39k	6,39k	6,39k	6	6	6	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Read Key (U32).vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,64k	6,64k	6,64k	2	2	2	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Write Key (Boolean).vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,28k	6,28k	6,28k	1	1	1	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Write Key (I32).vi	0,0000	0,0000	0,0000	14	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,03k	6,02k	6,05k	1	1	1	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Write Key (String).vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,61k	7,60k	7,63k	1	1	1	NI_LVConfig.lvlib	My Computer
-->SW_Fire_TTL_at_start_stop.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,76k	6,76k	6,76k	4	4	4		My Computer
-->SW_Generate_Color_Ramp.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,00k	5,00k	5,00k	0	0	0		My Computer
-->SW_Get_save_paths.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	12,31k	12,31k	12,31k	80	80	80		My Computer
-->SW_Load_settings_to_main_tab.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	21,29k	21,29k	21,29k	27	27	27		My Computer
FL_Make_data_frame_and_put_to_queue.vi	740,8643	0,0000	740,8643	43448832	0,0000	0,0000	0,0156	740,8643	0,0000	0,0000	0,0000	0,0000	6,22k	6,21k	17,26k	1	0	738		My Computer
-->Clear Errors.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
SW_Load_frames_from_XML_LL.vi	47,3931	0,0000	47,3931	622	0,0762	0,0312	0,1092	47,3931	0,0000	0,0000	0,0000	0,0000	3658,16k	1648,55k	4820,08k	7480	3205	11319		My Computer
FL_Save_incrementally.vi	44,3667	0,0000	44,3667	1746177	0,0000	0,0000	0,0312	44,3667	0,0000	0,0000	0,0000	0,0000	637,67k	9,95k	1350,11k	12	9	2526		My Computer
FL_Decode_RAW_to_DEC_bit_split.vi	20,0929	0,0000	20,0929	3773179	0,0000	0,0000	0,0156	20,0929	0,0000	0,0000	0,0000	0,0000	7,00k	7,00k	7,00k	10	10	10		My Computer
HW_Stream_raw_data_enq.vi	18,4861	740,8643	759,3505	43456551	0,0000	0,0000	0,0156	18,4861	0,0000	0,0000	0,0000	0,0000	11,77k	11,77k	13,37k	20	20	25		My Computer
-->FL_Make_data_frame_and_put_to_queue.vi	740,8643	0,0000	740,8643	43448832	0,0000	0,0000	0,0156	740,8643	0,0000	0,0000	0,0000	0,0000	6,22k	6,21k	17,26k	1	0	738		My Computer
Draw Multiple Lines.vi	15,5533	6,3180	21,8713	5238531	0,0000	0,0000	0,0156	15,5533	0,0000	0,0000	0,0000	0,0000	6,00k	5,99k	7,27k	3	3	3		My Computer
-->Set Pen State.vi	6,3180	0,0000	6,3180	5238531	0,0000	0,0000	0,0156	6,3180	0,0000	0,0000	0,0000	0,0000	3,84k	3,84k	3,84k	1	1	1		My Computer
Write Delimited Spreadsheet (string).vi	10,9981	1,7004	12,6985	623	0,0177	0,0000	0,0312	10,9981	0,0000	0,0000	0,0000	0,0000	858,48k	8,84k	879,90k	56	56	56		My Computer
-->Write Spreadsheet String.vi	1,7004	0,0000	1,7004	623	0,0027	0,0000	0,0156	1,7004	0,0000	0,0000	0,0000	0,0000	6,20k	6,20k	6,20k	12	12	12		My Computer
SW_Draw_mouse_br.vi	10,9669	31,0286	41,9955	1746177	0,0000	0,0000	0,0156	10,9669	0,0000	0,0000	0,0000	0,0000	32,11k	28,33k	32,81k	18	18	18		My Computer
-->Draw Multiple Lines.vi	15,5533	6,3180	21,8713	5238531	0,0000	0,0000	0,0156	15,5533	0,0000	0,0000	0,0000	0,0000	6,00k	5,99k	7,27k	3	3	3		My Computer
-->Draw Circle by Radius.vi	1,8252	6,9732	8,7985	6984708	0,0000	0,0000	0,0156	1,8252	0,0000	0,0000	0,0000	0,0000	6,11k	6,11k	6,11k	0	0	0		My Computer
-->AL_Rotate_mouse_coords.vi	0,3276	0,0000	0,3276	8730885	0,0000	0,0000	0,0156	0,3276	0,0000	0,0000	0,0000	0,0000	4,17k	4,17k	4,17k	0	0	0		My Computer
-->FL_Last_N_Samples_Cluster.vi	0,0312	0,0000	0,0312	1746177	0,0000	0,0000	0,0156	0,0312	0,0000	0,0000	0,0000	0,0000	8,20k	3,81k	8,93k	2	2	2		My Computer
Set Pen State.vi	8,5021	0,0000	8,5021	12223335	0,0000	0,0000	0,0156	8,5021	0,0000	0,0000	0,0000	0,0000	3,84k	3,84k	3,84k	1	1	1		My Computer
FL_Decode_RAW_to_DEC_for_saving.vi	8,0497	20,0929	28,1426	3907693	0,0000	0,0000	0,0156	8,0497	0,0000	0,0000	0,0000	0,0000	5,96k	5,96k	7,49k	9	9	10		My Computer
-->FL_Decode_RAW_to_DEC_bit_split.vi	20,0929	0,0000	20,0929	3773179	0,0000	0,0000	0,0156	20,0929	0,0000	0,0000	0,0000	0,0000	7,00k	7,00k	7,00k	10	10	10		My Computer
Draw Arc.vi	4,7892	2,1840	6,9732	6984800	0,0000	0,0000	0,0156	4,7892	0,0000	0,0000	0,0000	0,0000	5,91k	5,91k	5,91k	1	1	1		My Computer
-->Set Pen State.vi	2,1840	0,0000	2,1840	6984800	0,0000	0,0000	0,0156	2,1840	0,0000	0,0000	0,0000	0,0000	3,84k	3,84k	3,84k	1	1	1		My Computer
FL_Calculate_phi_theta_etc_for_saving.vi	4,5240	0,0000	4,5240	3773004	0,0000	0,0000	0,0156	4,5240	0,0000	0,0000	0,0000	0,0000	5,96k	5,96k	5,96k	1	1	1		My Computer
FL_DEC_split_and_filter_for_saving.vi	3,9936	3,8688	7,8625	3773004	0,0000	0,0000	0,0156	3,9936	0,0000	0,0000	0,0000	0,0000	5,19k	5,19k	5,19k	0	0	0		My Computer
-->FL_Filter_data_for_online_display.vi	3,8688	0,0000	3,8688	3773004	0,0000	0,0000	0,0156	3,8688	0,0000	0,0000	0,0000	0,0000	5,41k	5,41k	5,41k	1	1	1		My Computer
FL_Filter_data_for_online_display.vi	3,8688	0,0000	3,8688	5519181	0,0000	0,0000	0,0156	3,8688	0,0000	0,0000	0,0000	0,0000	5,41k	5,41k	5,41k	1	1	1		My Computer
FL_Calculate_Coordinates_for_saving.vi	2,2620	0,0000	2,2620	3773004	0,0000	0,0000	0,0156	2,2620	0,0000	0,0000	0,0000	0,0000	4,49k	4,49k	4,49k	0	0	0		My Computer
Draw Circle by Radius.vi	1,8252	6,9732	8,7985	6984768	0,0000	0,0000	0,0156	1,8252	0,0000	0,0000	0,0000	0,0000	6,11k	6,11k	6,11k	0	0	0		My Computer
-->Draw Arc.vi	4,7892	2,1840	6,9732	6984768	0,0000	0,0000	0,0156	4,7892	0,0000	0,0000	0,0000	0,0000	5,91k	5,91k	5,91k	1	1	1		My Computer
SW_Globals.vi	1,7940	0,0000	1,7940	14339087	0,0000	0,0000	0,0000	1,7940	0,0000	0,0000	0,0000	0,0000	0,04k	0,04k	640,85k	0	0	0		My Computer
-->Recording start timestamp	1,7784	0,0000	1,7784	5519073	0,0000	0,0000	0,0000	1,7784	0,0000	0,0000	0,0000	0,0000	0,02k	0,02k	0,02k	0	0	0		My Computer
-->Array of the pixel to color correspondences	0,0156	0,0000	0,0156	1746178	0,0000	0,0000	0,0000	0,0156	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	636,83k	0	0	0		My Computer
-->Array of the segment to color correspondences	0,0000	0,0000	0,0000	1746178	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,15k	0	0	0		My Computer
-->Cluster of paths	0,0000	0,0000	0,0000	1835099	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	1,99k	0	0	0		My Computer
-->Color ramp array	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,02k	0,02k	0,02k	0	0	0		My Computer
-->Diagram at recording	0,0000	0,0000	0,0000	1746380	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	1,30k	0	0	0		My Computer
-->Diagram at recording no zones	0,0000	0,0000	0,0000	1746178	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,53k	0	0	0		My Computer
Write Spreadsheet String.vi	1,7004	0,0000	1,7004	623	0,0027	0,0000	0,0156	1,7004	0,0000	0,0000	0,0000	0,0000	6,20k	6,20k	6,20k	12	12	12		My Computer
RGB to Color.vi	0,9048	0,0000	0,9048	2034190	0,0000	0,0000	0,0156	0,9048	0,0000	0,0000	0,0000	0,0000	3,58k	3,58k	3,58k	0	0	0		My Computer
SW_Generate_Segmented_Plot.vi	0,8892	0,9360	1,8252	4	0,2223	0,0780	0,6240	0,8892	0,0000	0,0000	0,0000	0,0000	9903,95k	3812,15k	26346,07k	40	40	40		My Computer
-->RGB to Color.vi	0,9048	0,0000	0,9048	2034189	0,0000	0,0000	0,0156	0,9048	0,0000	0,0000	0,0000	0,0000	3,58k	3,58k	3,58k	0	0	0		My Computer
-->Picture to Pixmap.vi	0,0312	0,0000	0,0312	4	0,0078	0,0000	0,0312	0,0312	0,0000	0,0000	0,0000	0,0000	3056,41k	960,34k	8558,95k	4	4	4		My Computer
-->Draw Arc.vi	0,0000	0,0000	0,0000	32	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,91k	5,91k	5,91k	1	1	1		My Computer
-->Draw Circle by Radius.vi	0,0000	0,0000	0,0000	60	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,11k	6,11k	6,11k	0	0	0		My Computer
-->Draw Round Rect.vi	0,0000	0,0000	0,0000	4	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,91k	5,91k	5,91k	1	1	1		My Computer
-->Draw Text at Point.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,22k	7,22k	7,22k	1	1	1		My Computer
-->Hilite Color.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,32k	4,32k	4,32k	0	0	0		My Computer
AL_Rotate_mouse_coords.vi	0,3276	0,0000	0,3276	8730885	0,0000	0,0000	0,0156	0,3276	0,0000	0,0000	0,0000	0,0000	4,17k	4,17k	4,17k	0	0	0		My Computer
Picture to Pixmap.vi	0,0624	0,0000	0,0624	5	0,0125	0,0000	0,0312	0,0624	0,0000	0,0000	0,0000	0,0000	4156,92k	960,34k	8558,95k	4	4	4		My Computer
FL_Last_N_Samples_Cluster.vi	0,0312	0,0000	0,0312	1746177	0,0000	0,0000	0,0156	0,0312	0,0000	0,0000	0,0000	0,0000	8,20k	3,81k	8,93k	2	2	2		My Computer
Write PNG File.vi	0,0312	0,0000	0,0312	1	0,0312	0,0312	0,0312	0,0312	0,0000	0,0000	0,0000	0,0000	9,61k	9,61k	9,61k	22	22	22		My Computer
-->Check Color Table Size.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,85k	5,85k	5,85k	0	0	0		My Computer
-->Check Data Size.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,72k	6,72k	6,72k	0	0	0		My Computer
-->Check File Permissions.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,80k	4,80k	4,80k	6	6	6		My Computer
-->Check Path.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,04k	6,04k	6,04k	17	17	17		My Computer
FL_Last_N_Samples_Cluster_Array_1D.vi	0,0156	0,0000	0,0156	1746177	0,0000	0,0000	0,0156	0,0156	0,0000	0,0000	0,0000	0,0000	4,19k	4,10k	7,41k	12	12	12		My Computer
HW_Init.vi	0,0156	0,0000	0,0156	1	0,0156	0,0156	0,0156	0,0156	0,0000	0,0000	0,0000	0,0000	21,89k	21,89k	21,89k	58	58	58		My Computer
-->Call By Ref.#1	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,45k	13,45k	13,45k	74	74	74		My Computer
-->Simple Error Handler.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	11,34k	11,34k	11,34k	6	6	6		My Computer
-->Space Constant.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->VISA Configure Serial Port (Instr).vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,60k	6,60k	6,60k	0	0	0		My Computer
HW_Setup.vi	0,0000	0,0156	0,0156	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,79k	7,79k	7,79k	11	11	11		My Computer
-->HW_Init.vi	0,0156	0,0000	0,0156	1	0,0156	0,0156	0,0156	0,0156	0,0000	0,0000	0,0000	0,0000	21,89k	21,89k	21,89k	58	58	58		My Computer
8.6CompatibleGlobalVar.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->8.6 compatible ?	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Application Directory.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->NI_FileType.lvlib:Is File an LLB.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0	NI_FileType.lvlib	My Computer
BuildHelpPath.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->GetHelpDir.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Check Color Table Size.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,85k	5,85k	5,85k	0	0	0		My Computer
-->Error Cluster From Error Code.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Check Data Size.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,72k	6,72k	6,72k	0	0	0		My Computer
-->Error Cluster From Error Code.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Check File Permissions.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,80k	4,80k	4,80k	6	6	6		My Computer
-->Error Cluster From Error Code.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Check Path.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,04k	6,04k	6,04k	17	17	17		My Computer
-->Directory of Top Level VI.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Check Special Tags.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,29k	4,29k	4,29k	5	5	5		My Computer
Check if File or Folder Exists.vi	0,0000	0,0000	0,0000	5	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,00k	6,94k	7,20k	17	17	19		My Computer
-->NI_FileType.lvlib:Get File Type.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,14k	7,14k	7,14k	10	10	10	NI_FileType.lvlib	My Computer
-->NI_PackedLibraryUtility.lvlib:Get Exported File List.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0	NI_PackedLibraryUtility.lvlib	My Computer
Clear Errors.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Color to RGB.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Convert property node font to graphics font.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Details Display Dialog.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->Clear Errors.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->Set Bold Text.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Directory of Top Level VI.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Draw Round Rect.vi	0,0000	0,0000	0,0000	4	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,91k	5,91k	5,91k	1	1	1		My Computer
-->Set Pen State.vi	0,0000	0,0000	0,0000	4	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,84k	3,84k	3,84k	1	1	1		My Computer
Draw Text at Point.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,22k	7,22k	7,22k	1	1	1		My Computer
-->Draw Text in Rect.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,89k	7,89k	7,89k	2	2	2		My Computer
-->Get Text Rect.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,45k	6,45k	6,45k	2	2	2		My Computer
Draw Text in Rect.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,89k	7,89k	7,89k	2	2	2		My Computer
-->PCT Pad String.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,17k	3,17k	3,17k	1	1	1		My Computer
